Ensembl,Gene_name,P8_4_Lps3,P8_4_Lps5,P8_4_Lps4,P7_4_Lps1,P7_4_Lps2,P4_5_Lps2,P4_5_Lps3,P4_5_Lps1,P7_4_Ctrl1,P7_4_Ctrl2,P8_4_Ctrl3,P8_4_Ctrl4,P8_4_Ctrl5,P4_5_Ctrl1,P4_5_Ctrl3,P4_5_Ctrl2
ENSMUSG00000026621,1-Mar,2,4,0,0,3,0,0,2,1,4,3,5,1,3,0,1
ENSMUSG00000036469,1-Mar,108.119,123.8893,90.14046663,59.24319004,79.150254,10.21720341,2,20.56681072,136.0651781,292.64485,278.108605,371.6042,266.4216505,22.05236,0,18.11860052
ENSMUSG00000073481,2-Mar,1427.15804,1325.0856,1070.9543,812.15134,1004.36046,509.441083,718.40413,1101.51877,868.753,2020.380691,1872.5456,2572.2902,1694.87261,1254.05784,1213.2389,910.06209
ENSMUSG00000079557,2-Mar,2160.2676,1851.497058,1529.31329,1062.5468,1300.877501,903.74231,987.82145,2099.7192,1217.1941,2535.15296,2792.127184,3728.451,2402.7429,1928.23962,1743.2566,1527.3991
ENSMUSG00000032656,3-Mar,233.0037,227.0222,163.00911,161.0125,224.74903,128.03145,47,303.0414,80.00207,166.56099,107.0082,183.3511,119.00389,185.0225,76.00005,137.01028
ENSMUSG00000039372,4-Mar,12.913,18.4325,10.9495,6.88326,10.34,6.03356,4.00718,18.2106,8.76175,17.8732,15.8695,19.1506,24.1265,17.204,2.00441,10.3705
ENSMUSG00000023307,5-Mar,4348.002,4049.005,3303.9978,2631.9984,3264.0039,1269.9999,1533.00032,3111.9984,1862.0001,3772.9993,3465.9958,5089.005,3303.002,2882.0053,2903.9974,2063.0034
ENSMUSG00000039100,6-Mar,3222,3076,2480,1974,2363,1483,1847,3770,2314,4813,4333,5911,3993,3683,3513,2594
ENSMUSG00000026977,7-Mar,3723.0663,3535.637772,3051.628991,2024.519775,2574.222309,1441.683713,1619.0001,3486.1701,2112.466767,4607.727623,4418.314699,6054.620095,4105.94212,3531.13481,3568.2233,2466.10986
ENSMUSG00000025702,8-Mar,3087.0009,2869.99837,2208.004804,1727.004,2073.0006,1368.99895,1779.99683,3691.99554,2167.0026,4489.00352,4439.997753,5652.998,3734.9953,3527.00069,2869.996758,2457.99671
ENSMUSG00000040502,9-Mar,290,273,234,119,145,103,163,311,120,289,327,492,312,238,199,193
ENSMUSG00000078627,10-Mar,5,0,3.28632,1.28632,1,2,0,6.37892,7,7.170897,10.38696,8.86174,7.19895,5,0,3.32609
ENSMUSG00000022269,11-Mar,9.000000516,11.99997,14,7,5,8,0,15.0000014,1,2,4,15,11,5,0,3
ENSMUSG00000000486,1-Sep,69.99994,50.00001,64.00006,37.00001,42.0000408,15.00003,40,35.00006,42.99996,99.00007,139.99998,192,100,32.00003,18,18
ENSMUSG00000026276,2-Sep,14770.00264,14157.00705,11781.00012,8509.001247,10920.00612,4622.99881,4592.9964,10617.00157,8671.99785,18084.0074,16602.00099,23735.00255,15502.04441,10875.0032,9508.993111,7555.0013
ENSMUSG00000022456,3-Sep,305.8851,304.385,256.575,145.2693,175.521,149.75056,587.762,456.888,197.896,502.5844,572.5777,781.919,492.5130012,493.2533,935.1314,368.495
ENSMUSG00000020486,4-Sep,42.000007,30.99999,23,23.999991,38.99999327,4,1.999998,23.01598,28,51.036788,47.01567,62.01433,43.00005,16.02442,4.999997,13.00000673
ENSMUSG00000072214,5-Sep,3249.97,2987.98,2513.19,1836.82,2080.61,1045.36,1326.18,2258.92,1964.71,4355.52,4562.57,6444.68,3863.62,2330.38,1935.87,1636.3
ENSMUSG00000050379,6-Sep,527.9995,473.9999,393.0003,363.0002,437.9998,68.9300513,71,200.9998,443.66484,988.00032,749.0004,1040.9998,695.99912,234.0001,187.000461,157
ENSMUSG00000001833,7-Sep,12274.9712,11524.96222,10167.03591,7107.003599,9220.996793,6847.995964,4621.002415,16233.02933,7794.002626,16029.00266,14066.00398,19979.00162,13635.04392,16614.99674,9592.999404,12104.0313
ENSMUSG00000018398,8-Sep,6070.9947,5624.00604,4582.0027,3164.9985,3919.99994,1630.999984,1751.0004,4216.00299,3873.996647,8039.99512,8374.00001,11581.00328,7407.00398,3971.991363,3299.999652,2819.99747
ENSMUSG00000059248,9-Sep,8924.0009,8353.9727,6538.9995,5197.9798,6067.979756,1894.000422,1697.00052,4447.9932,5246.997,11059.00001,10219.99184,14356.94881,8853.9959,4195.71511,2079.000548,2845.96673
ENSMUSG00000019917,10-Sep,906,819,747,485,675,167,203,432,544,1223,982,1399,917,403,475,299
ENSMUSG00000058013,11-Sep,11087,10657,8610,6891,8868.94,2340,1010,5355,7375,16157,13001,17705,11337,5561,1146,4039
ENSMUSG00000022542,12-Sep,0,0,0,1,0,0,0,5,2,1,2,5,0,0,0,0
ENSMUSG00000034219,14-Sep,0,2,1,0,0,0,10,0,3,1,1,2,2,0,13,0
ENSMUSG00000037072,15-Sep,17158.0009,15308.999,13502.0011,9263.0043,11811.0021,6199.99729,6131.9897,14694.0035,10563.0005,21392.9906,20326.0074,28764.9599,18925.9951,14633.0035,12978.9891,10800.9986
ENSMUSG00000085214,0610005C13Rik,21.1351,32.12086,22.0825,16.83126,16.16051,17.8689,3.43401,44.27368,20.67875,48.50684,45.95412,64.36034,34.74596,45.75006,32.762,26.71778
ENSMUSG00000021252,0610007P14Rik,1217.1001,1105.45192,947.52537,677.40435,812.14,382.17937,486.288,867.39941,774.57725,1630.7295,1518.066,2158.473,1424.6718,859.1927,1019.8311,643.26355
ENSMUSG00000007777,0610009B22Rik,469.9767,444.129,382.369,268.12,342.548,222.51,314.42,418.063,354.812,724.16558,670.67955,998.08284,590.9923,479.533,833.295,368.486
ENSMUSG00000086714,0610009E02Rik,34.9705,16.1863,28.2945,10.99404,14.82885,25.06157,54.5978,39.82516,16.85852025,42.4971,30.7956,46.8968,44.28334,47.1359,54.5136,32.07728
ENSMUSG00000043644,0610009L18Rik,18,13,23,8,17,14,10,36,19,48,31,45,29,31,19,29
ENSMUSG00000024442,0610009O20Rik,1004,943,786.859,523.956,643.978,336.934,289,842.946,611.972,1271.97,1284.76,1919.18,1160.55,863.966,436,636.905
ENSMUSG00000042208,0610010F05Rik,1093.0006,1059.99989,882.9996233,641,834.0013,387.0003501,283.0000004,952.99952,698.0009312,1479.9986,1371.00081,1950.00025,1220.9993,987.99922,910.001,673.9998
ENSMUSG00000020831,0610010K14Rik,415.14049,349.62497,333.9477271,218.5652479,265.9493094,191.428466,212.4668,475.8611,256.732031,482.5411,524.19,786.1435,432.68157,318.07122,522.208331,250.55568
ENSMUSG00000025731,0610011F06Rik,299.0093,221.5287181,218.24887,138.33231,156.9349078,94.204,225.688738,303.6152539,177.2662,353.55627,380.657,514.3668,334.76214,275.78984,365.3742,223.48431
ENSMUSG00000089755,0610012D04Rik,0,1,1,1,0,1,0,3,0,0,1,1,0,1,0,0
ENSMUSG00000096232,0610012G03Rik,103,89,88,50,43,17,35,92,49,107,161,330,126,61,60,66
ENSMUSG00000046683,0610025J13Rik,1,2,0,0,1,0,0,1,1,1,2,0,1,0,0,0
ENSMUSG00000058706,0610030E20Rik,810.552,709.188,593.497,404.631,526.572,315.506,303.91,805.329,454.105,971.266,953.844,1293.84,848.806,723.485,437.777,533.115
ENSMUSG00000001418,0610031J06Rik,7780.4068,7189.385,6084.9246,4314.6583,5125.7599,2993.5359,3793.40108,6981.2737,4886.79754,10226.3157,10237.61,14237.796,8704.6461,6659.2681,6917.2362,5151.008
ENSMUSG00000099146,0610031O16Rik,19.6543,17.5545,13.2266,5.79031,14.131,4,0,29.34735,4.07532,11.4311,14.549,20.5847,24.34465,16.6622,37.1917,6
ENSMUSG00000028608,0610037L13Rik,1081.999786,897.9995565,818.99897,585.00024,727.999749,364.9998477,252.9995377,952.000889,626.0000502,1367.00044,1260.99922,1650.00066,1106.00024,891.9999,839.00019,709.0002957
ENSMUSG00000058812,0610039K10Rik,3.00562,1.002272,0,0,1.004518,1.00445,0,3.010744,2.004502,1.002347,2.00793,2.007461,3.010962,1.004085,0,1.00327
ENSMUSG00000089889,0610040B10Rik,27,28,18,20,25.99997,23,8,59.99996,34,41,46,58,38,53,38,42.99996
ENSMUSG00000087341,0610040F04Rik,2.05365,1.02425,2.07002,2.0391,4.09262,0,0,1.01518,1.02951,6.15916,1.03953,5.16269,2.05583,1.03108,0,1.04702
ENSMUSG00000060512,0610040J01Rik,2,2,2,0,1,0,0,8,2,9,6,10,8,18,11,5
ENSMUSG00000087361,0610043K17Rik,8,4.999999,9,5,7,2.999999,6,4,4,5,3,7,2.999999,7.999998,3,6
ENSMUSG00000097863,1010001B22Rik,7.68803,0,1.27025,1.41022,2.71941,6.39973,0,9.19085,2.57782,15.2866,10.0438,10.913,11.4592,8.1836,7.89943,6.54324
ENSMUSG00000097222,1010001N08Rik,10,8,7,9,16.00003,1,0,12.99996,3,12,13,8,11,7,5,3
ENSMUSG00000019689,1110001J03Rik,77,75,52.99998,44,49.00004,46.00004,38,81,42,103.99997,94.99998,153,82,68.00003,109,57
ENSMUSG00000090066,1110002E22Rik,45.1837,40,39.0691,18.555776,22,0,1,10,8.000002,13,18,15.000043,14,4,2,5.999995
ENSMUSG00000097134,1110002J07Rik,15.0043,11.0032,6.0025,9,10.0092,1.01981,0,6.05069,6.0177,17.0413,16.411,31.0668,15.0958,6.03449,0,14.1657
ENSMUSG00000071456,1110002L01Rik,370.087,332.3813,269.4794,214.0199,199.25528,125.36031,102.6054,366.7832,240.01592,548.4945,482.1416,637.0649,434.5787,390.05654,200.6625,271.5735
ENSMUSG00000022972,1110004E09Rik,317.0003,291.00045,228.0004,159.0001,196.0003,129,207.00013,277.00027,178,371.0003,344.00031,515.9998,297.99992,270,463.9997,223.99997
ENSMUSG00000030663,1110004F10Rik,2929.254,2579.998561,2298.89,1585,2068,1076.000054,1662.00041,2487.346,1750.7485,3842.37,3455.615085,4805.37,3255.002,2443.7421,3314.0028,1745.22416
ENSMUSG00000037960,1110007C09Rik,869,797,763,434,494,181,454,507,455,1037,1226,1826,1134,470,719,382
ENSMUSG00000046119,1110008E08Rik,0,0.9999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000027637,1110008F13Rik,2687.8978,2516.1756,2154.5613,1449.8981,1864.5242,735.9424,751,1667.3039,1508.2888,3348.4288,3133.1622,4634.5887,2955.6062,1681.28773,1798.995231,1161.931612
ENSMUSG00000021023,1110008L16Rik,587.80528,503.1798989,406.9718002,251.9016,372.1477947,221.0103,224.132099,550.97304,249.74,581.6223,602.7543006,719.8335,417.3139468,437.32868,467.1165447,301.0061
ENSMUSG00000039195,1110008P14Rik,499.0296,398.1777,389.8131,205.2383,222.963,138.812,262.1678,418.5161,186.748,396.894,586.5236,1039.8746,540.5906,310.1694,568.388,269.8595
ENSMUSG00000045237,1110012L19Rik,818,738,626,445,599,410,480,940,612,1322,1168,1668,1091,1031,775,776
ENSMUSG00000098659,1110015O18Rik,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
ENSMUSG00000028441,1110017D15Rik,15,14.00001,9,10.99999,9,3,10,12,6,12.999998,8,25.9999549,7,7,0,3
ENSMUSG00000085151,1110018N20Rik,4.5008,1,1.54465,1.03693,4.52619,2.51482,0,3.08843,1.00582,3.01783,5.34321,2.21473,4.28647,8.40917,0,2.3091
ENSMUSG00000097616,1110019D14Rik,118,83.00002,105,67.36912,89.04094,45.00002,10,106,87.00002,187.7887,143.2719,236.0004,149.7203,132.99954,132.9999,86
ENSMUSG00000097047,1110020A21Rik,4,4,4,5,3,7,0,7,6,12,5,13,13,5,0,3
ENSMUSG00000068073,1110025L11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085972,1110028F11Rik,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000099139,1110028F18Rik,0,2,1,0,0,0,0,0,1,0,1,1,0,3,0,1
ENSMUSG00000037971,1110032A03Rik,498.15675,431.48664,397.0301,250.01883,324.7856,271.62314,258.58101,746.72565,311.95161,685.69264,659.86515,985.69419,634.81258,797.0778,1013.6912,600.87795
ENSMUSG00000046999,1110032F04Rik,1,1,1,2,0,0,0,0,0,0,1,0,0,3,0,0
ENSMUSG00000044991,1110034G24Rik,161.0807,145.0262,123.69431,80.0329,117.11005,70.04401,115.0287,220.1796,138.04028,265.42372,226.3804,307.3666,191.23,202.95,191.99956,160.20714
ENSMUSG00000050633,1110035H17Rik,0,0,6.91E-05,12.5237,15.1361,0.000012881,5.99967,0,0.000815826,0,0,0,23.7623,0,7.65585,2.23005
ENSMUSG00000099098,1110035H17Rik,24.0231,23.9556,24.7894,9.37E-05,0.000269723,9.17359,0.000325081,10.6708,11.8362,25.8817,30.6688,56.3417,0.000423442,19.9306,0.000204418,4.20501
ENSMUSG00000097036,1110036E04Rik,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000040720,1110037F02Rik,3978,3922.9976,3264.998,2435.9965,2928.998,1784.003,1486.000004,4249.996,2644.003001,5643.0029,5139.997,6719.002,4606.002,4004.0015,2961.997,2806.001
ENSMUSG00000092203,1110038B12Rik,3088.9969,2814.00358,2328.99911,1482.00364,1766.5137,1304.7387,683.0002,2703.9993,1495.93628,3271.9952,3719.0004,5540.9994,3398.00233,2699.0037,2108.00236,2133.0044
ENSMUSG00000063236,1110038F14Rik,1160,1114,938,582,682,238,310,644,272,595,684,1100,617,441,302,307
ENSMUSG00000085457,1110046J04Rik,278.0958,215.5557,192.4433,124.4745,133.4792,85.7616,120.0764,182.2348,121.1364,262.6117,320.6995,376.6906,250.7106,175.5256,141.1762,130.9507
ENSMUSG00000040591,1110051M20Rik,733.04612,671.796,525.027,410.673,474.52313,328.3468,384.36448,756.52954,431.51782,933.6886,915.3169,1288.0486,769.73362,720.2924,764.3815,502.16601
ENSMUSG00000097867,1110054M08Rik,87.6311,60.3598,53.7631,38.097,40.3153,33.0799,41,77.7923,69.7656,129.165,122.677,171.592,87.2019,97.8923,59,58.6136
ENSMUSG00000037669,1110057K04Rik,1949.141,1689.224,1431.09014,960.052,1242.0202,819.861,704.979,2025.92,1157.9223,2368.195,2381.849,3313.786,2148.874,1911.354,1508.678,1407.661
ENSMUSG00000068067,1110057P08Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000026154,1110058L19Rik,533.99313,473.00036,359.00038,267.99998,286.994,147,176,341.968,305.99978,655.92043,702.99211,885.99406,581,417.99553,670.9996,265.94476
ENSMUSG00000035171,1110059E24Rik,663.00028,589.99967,488.00047,362.00037,484.99994,206,268.0001,518.00044,439.00011,763.00003,721.99984,985.99983,645.00005,520.99995,718,334.00017
ENSMUSG00000032551,1110059G10Rik,354.015,319,270.9997,201.1728,262,164.0003,165.0004,379,211.028,490.005,449.012,618,429.154,449.043,576.143,309.041
ENSMUSG00000078570,1110065P20Rik,323.6727904,317.21768,241.59878,204.97791,215.8756006,131.4496915,111.6224,288.6973451,185.588824,474.583062,425.2783,783.74178,454.3318,315.929,327.52613,237.9767
ENSMUSG00000045414,1190002N15Rik,567,534,503,432,505,406,89,947,942,2097,1349,1886,1293,1338,344,840
ENSMUSG00000096537,1190003K10Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000043687,1190005I06Rik,28,21.00001,23.999969,11,11.00002,7,26,34,15.999979,42,45,67,47,36,45,25
ENSMUSG00000063320,1190007I07Rik,114.0334,89.93095,73.0677,41.48667001,44.68182,39.04589,34.87962,91.64337057,39.72972,124.0942,108.1146008,242.9968,114.15637,86.2084,169.0029,76.13084
ENSMUSG00000087684,1200007C13Rik,7.14875,10.6473,7.23072,5.51443,1.3015,10.1943,4.0046,5.09658,5.49806,13.621,9.32954,9.79841,5.44918,14.7964,2.39337,7.05584
ENSMUSG00000020783,1200014J11Rik,1193.73634,1130.25378,919.43858,717.23925,834.3014,396.01866,419.07249,904.11246,828.26612,1754.85286,1456.96552,2086.0723,1389.30901,1005.04341,869.0351,648.3727
ENSMUSG00000097290,1300002E11Rik,227.8678,169.587,168.53888,108.6973,120.46464,84.30275,83.2238,207.1367,117.4515,323.92,265.4325,380.4308,240.2469,258.7361,213.6523,160.9027
ENSMUSG00000033688,1300017J02Rik,11.24642,18.24487,8.04918,8.048889,9.30215,5.0328,0,22.12878,4.09514,8.236222,20.42607,20.17068,13.11277002,13.08586,0,5.036604
ENSMUSG00000096221,1500002C15Rik,78.8605,82.3687,57.9962,41.7561,42.6975,32.4702,46.3517,71.6533,72.9678,132.557,128.035,206.305,148.055,76.8673,54.0124,72.1141
ENSMUSG00000098912,1500004A13Rik,283.67208,257.18014,216.88682,151.82807,221.44075,127.27599,231.82544,341.7045538,250.9630763,479.08527,426.6146678,607.86872,380.49389,311.57386,463.0954,253.63464
ENSMUSG00000068099,1500009C09Rik,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,1
ENSMUSG00000087651,1500009L16Rik,396,337,228,223,256,176,159,365,128,203,197,263,172,288,531,200
ENSMUSG00000072694,1500011B03Rik,316.9834,259.8565,187.3739,150.3954,186.715,155.6559,116.1993,347.5273,209.9247,415.3623,433.088,589.4635,329.8063,285.552,259.2084,228.4187
ENSMUSG00000051319,1500011K16Rik,260,221,212,107,119,123,89,255,119,242,366,555,306,301,252,255
ENSMUSG00000074578,1500012F01Rik,1585.2813,1430.6005,1218.0004,950.0005,1220.0009,776.99991,600.99973,1510,870.9999,1900.9994,1760.9722,2658.9988,1640.9044,1641.4666,1623.9995,1214.99942
ENSMUSG00000097247,1500012K07Rik,13.2442,4.06388,8.15614,6.08203,7.21873,3.01743,0,6.11982,7.1223,9.06012,9.15904,21.3075,15.1246,21.2168,0,14.1104
ENSMUSG00000098702,1500015A07Rik,96,81.69844,53,46,55,27.99997,27,64,49,90,101,130,69,44.999983,101.99999,34.99999
ENSMUSG00000094732,1500015L24Rik,2,1,1.999999,1,0,5,0,7,1,1,3,2,1,9,0,4
ENSMUSG00000026051,1500015O10Rik,74,68,50,130,136,239,26,631,116,220,70,146,87,558,72,313
ENSMUSG00000087579,1500017E21Rik,27.82676,28.848839,10.96387,20.23837,17.0961,12.295329,1.35169,16.82779,19.014451,35.49781,69.99927,34.49581,42.95649,29.22975,3.35331,13.37631
ENSMUSG00000097383,1500026H17Rik,53,64,65,45,52,43,26,49,31,97,94,108,79,66,59,42
ENSMUSG00000059631,1500035N22Rik,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000043747,1520401A03Rik,20.99997,21,13,6,23,2.999995,0,10,12.000009,42,30.999969,61,21,14,4,6
ENSMUSG00000086899,1600002D24Rik,0,1,2,1,3,0,0,4,0,2,2,4,2,0,0,0
ENSMUSG00000024118,1600002H07Rik,329.5293,347.88506,313.8389,213.0851,240.36817,140.7148,95.0845,314.65805,292.31357,638.0557,625.76675,875.77538,479.79942,352.28411,240.1966,277.8605
ENSMUSG00000035595,1600002K03Rik,318,287,228,143,178,125,57,216,147,382,373,540,357,288,149,230
ENSMUSG00000089688,1600010F14Rik,3.04552,2.01653,0,1,0,1.0173,1,4,1,1.00583,4.65434,7,7.20619,4.05927,0,2
ENSMUSG00000050088,1600012H06Rik,1786.15475,1632.15674,1378.15005,1021.56062,1202.5948,641.07085,564.97379,1594.92586,1133.32487,2316.11661,2126.32206,3077.5285,1975.6667,1505.95932,979.212,1127.5566
ENSMUSG00000047661,1600012P17Rik,0.999787,1.10683,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ENSMUSG00000054676,1600014C10Rik,1950.99857,1730.0024,1390.00046,1096.00002,1309.99549,485.00091,656.99951,1205.999622,871.99961,1974.99518,1788.99736,2392.00272,1538.00394,1129.00073,428.0001,820.00028
ENSMUSG00000094690,1600014C23Rik,2,1,2,1,6,0,0,0,0,1,0,1,0,0,6,0
ENSMUSG00000035491,1600014K23Rik,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
ENSMUSG00000029813,1600015I10Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000065361,1600017P15Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097048,1600020E01Rik,187.9999,168,143,118,136,79,43,232,113,259,229,304,204,197.9998,177.0005,138
ENSMUSG00000085114,1600025M17Rik,4,9.05849,5.03147,7,5.02741,1.06617,0,2,6.18496,4.0502,7.57001,15.0223,7.09566,4.3942,6.2211,3.03016
ENSMUSG00000046242,1600029I14Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000057818,1600029O15Rik,11.09017,13.52532,12.37871,7.44324,8.72199,6.21654,10.25002,7.225401,4.39445,19.02189,11.38158,20.6127,15.46029,5.22833,16.53803,12.93246
ENSMUSG00000029182,1700001C02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000047150,1700001C19Rik,4.065847,7.647276,6.70637,5.12025316,5.91031,12,6,38.41161,4.73472,10.6923,14.70945,19.96679,15.00056,42.92093,22,26.15871
ENSMUSG00000095384,1700001F09Rik,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000087170,1700001G01Rik,2,1,0,1,0,0,0,0,0,2,0,2,3,2,0,1
ENSMUSG00000085984,1700001G11Rik,12,15,6.000002,6,5,3.000001555,0,9.0034,11,23.01048,27.00004,23.00321,9,13.01721,6,6.003607
ENSMUSG00000044744,1700001G17Rik,9,3,5,6,10,6,0,7,4,13,21,28,21,11,14,3
ENSMUSG00000095040,1700001J03Rik,3,1,2,0,0,0,0,0,2,2,2,3,4,0,0,0
ENSMUSG00000086135,1700001J04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000056508,1700001K19Rik,9,7,13,6,7,2,0,8,5,12,12,12,10,6,0,12
ENSMUSG00000075511,1700001L05Rik,36,22.999979,25.999979,24.000034,23.00005,26.00004,35,54.00004,28.00005,53.99996,51.000046,71.99993,53.99997,45.00002066,6,31.00004
ENSMUSG00000021534,1700001L19Rik,2,2,1,1,1,0,0,0,1,4,6,12,0,2,0,0
ENSMUSG00000044320,1700001O22Rik,5,4,5,3,3,2.000000085,0,7,2,14.99999,14,15,9,5.99999984,11,5
ENSMUSG00000018543,1700001P01Rik,6,1,5,0,3,0,0,4,2,1,4,9,3,2,0,0
ENSMUSG00000085944,1700003D09Rik,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000030030,1700003E16Rik,45,45,34,13,21,48,64,121,37,59,88,131,81,158,114,94
ENSMUSG00000095110,1700003E24Rik,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ENSMUSG00000038523,1700003F12Rik,17,18.99999,17.00002,8,11,11,22,25.99999,28.00004,35.50322,58.6048,70.1424,51,25.31993,61.00004,30
ENSMUSG00000085831,1700003G13Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000087621,1700003G18Rik,0,0,1,1,0,0,0,2,1,2,1.999998,0,0,2,5,0
ENSMUSG00000039174,1700003H04Rik,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1
ENSMUSG00000028294,1700003M02Rik,10.000011,3.000001,5,1,1,2,0,1,2,3,3,4,2,1,0,4
ENSMUSG00000085389,1700003M07Rik,46,29,33,27,25.00001,50,23,88,39,76,55,94,53,84,36,72.99996
ENSMUSG00000027973,1700006A11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000010841,1700006E09Rik,1.999996,3,0,0,0,0,0,3,2,0,4,1.999996,1,0,0,0
ENSMUSG00000034764,1700006J14Rik,71.76122,60.38826,43.00157,46.05045,33.64014,27.84596,20.13898,57.174579,37.32562,83.6315,69.06269,116.1391,78.6777,64.788,9.87028,22.71485
ENSMUSG00000031620,1700007B14Rik,2,2,1,0,0,2,0,9,0,1,0,5,0,7,0,4
ENSMUSG00000057816,1700007G11Rik,3,2,2,1,0,0,0,3,2,4,4,1,2,0,0,2
ENSMUSG00000086330,1700007J10Rik,47.99988,28.6322,27.4921,19.0961,23.3694,13.63988,0,37.05122,23.2283,61.7015,40.7837,69.7505,65.64173,42.3419,31.8973,13.7997
ENSMUSG00000030858,1700007K09Rik,7,3,2,2,1,1,0,1,1,2,3,4,3,1,0,4
ENSMUSG00000026831,1700007K13Rik,232.9996,180.0003,183.9997,100,139.0003,227.0002,204,642,218.99938,388,371.0002,574.99954,328.0005,607,605,435.00039
ENSMUSG00000097318,1700007L15Rik,22,20,23,8,16,6,18,26,14,24,32,51,26,30,37,17
ENSMUSG00000086613,1700007M16Rik,3,2.40045,3,1,2.48572,1,11.8362,2,4,4,2,4,6,4,1,1
ENSMUSG00000089730,1700007P06Rik,21,15,13,11,13,9,0,28,13,27,28,36,15,14,0,12
ENSMUSG00000056018,1700008F21Rik,25.02507,24.17242,16.08047,16.02074,11,20.49912,4,40.5226,8.02686,24.37855,24.39456,33.10753,23.23591,36.31038,46.00005,25.39052
ENSMUSG00000058252,1700008I05Rik,5,5,3,3,5,15,0,35,11,5,10,9,3,42,16,36
ENSMUSG00000008028,1700008O03Rik,11.352059,7.06628,14.37321,7.20019,4.27942,6.26588,8,13.40960008,6.28112,7.0000076,16.44018,22.65818,6.177031,15.41728,12.11704,16.36761
ENSMUSG00000069118,1700008P02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000096573,1700009J07Rik,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000028287,1700009N14Rik,135,144,110,71,121,28,0,52,73,172,185,234,190,42,0,44
ENSMUSG00000026649,1700009P17Rik,59.99997,66.00006,55.99999007,42.99999,51,35.99999,17.99998,74,42.000018,89.99997,80.99991,117.00004,86,93,84.00003,84.99994
ENSMUSG00000057047,1700010B08Rik,0,1.50956,1,1,0,0,0,0,0,1.18766,1,1.16518,0,1,0,0
ENSMUSG00000071721,1700010D01Rik,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000067101,1700010H22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023873,1700010I14Rik,89.23867,63.5096,55.3962,38,46.14659,42,28,99,38,96,84,141,86,89.4901,38,55
ENSMUSG00000092599,1700010K23Rik,4.43792,6.46232,3.05351,5.89372,7.40526,23.6675,0,29.6402,11.7591,13.5445,4.61953,13.6121,8.41875,35.5207,0,39.8594
ENSMUSG00000085102,1700010K24Rik,2,1,2,0,2,1,0,0,2.00652,2.00298,2,1,0,3,0,0
ENSMUSG00000030636,1700010L04Rik,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000063971,1700011A15Rik,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ENSMUSG00000036557,1700011E24Rik,0,1,1,0,0,1,0,0,0,1,1,2,0,0,17,0
ENSMUSG00000021850,1700011H14Rik,1,0,1.000000027,1,0,0,0,0,0,0,1,1,2,0,0,0
ENSMUSG00000058925,1700011I03Rik,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,2
ENSMUSG00000031682,1700011L22Rik,2,1,2,0,2,1,0,0,2,4,6,3,4,0,0,0
ENSMUSG00000079476,1700011M02Rik,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029766,1700012A03Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000020617,1700012B07Rik,2.000003,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
ENSMUSG00000031927,1700012B09Rik,0,2,1,1,2,22,66,50,0,1,2,4,1,32,117,26
